0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
1,1,,-11985,A(Branco polar),Python2,ranido.py,judged,juiz1 (1),NO - Wrong language choice
2,1,,-11984,A(Branco polar),C++,yonny.cpp,judged,juiz1 (1),NO - Wrong answer
3,1,,-11984,A(Branco polar),C++,yonny2.cpp,judged,juiz1 (1),NO - Wrong answer
4,1,,-11983,A(Branco polar),Python3,ranido.py,judged,juiz1 (1),NO - Wrong answer
5,1,,-11983,A(Branco polar),C++,bruno.cpp,judged,juiz5 (1),YES
6,1,,-11983,A(Branco polar),Python3,fidel_py3.py,judged,juiz5 (1),YES
7,1,,-11983,A(Branco polar),C++,fidel.cpp,judged,juiz5 (1),YES
8,1,,-11982,A(Branco polar),C++,guilherme.cpp,judged,juiz5 (1),YES
9,1,,-11982,A(Branco polar),Python3,paulo_py3.py,judged,juiz5 (1),YES
10,1,,-11982,A(Branco polar),Java,paulo.java,judged,juiz1 (1),NO - File name mismatch
11,1,,-11981,K(Dourado),C++11,bruno.cpp,judged,juiz1 (1),YES
12,1,,-11981,A(Branco polar),Java,TableTennis.java,judged,juiz1 (1),NO - File name mismatch
13,1,,-11981,A(Branco polar),Java,TableTennisRG.java,judged,juiz1 (1),NO - File name mismatch
14,1,,-11981,K(Dourado),C++,bruno.cpp,judged,juiz1 (1),YES
15,1,,-11980,A(Branco polar),C++,yonny.cpp,judged,juiz1 (1),YES
16,1,,-11980,K(Dourado),Python3,fidel_py3.py,judged,juiz1 (1),YES
17,1,,-11980,K(Dourado),C++11,fidel.cpp,judged,admin (1),YES
18,1,,-11980,K(Dourado),C++11,guilherme.cpp,judged,admin (1),YES
19,1,,-11980,K(Dourado),C++11,lfdorelli_match.cpp,judged,admin (1),YES
20,1,,-11979,K(Dourado),Python3,paulo_py3.py,judged,admin (1),YES
21,1,,-11979,K(Dourado),Java,K.java,judged,admin (1),NO - Compilation error
22,1,,-11978,K(Dourado),Java,K.java,judged,admin (1),YES
23,1,,-11977,A(Branco polar),Java,TableTennis.java,judged,admin (1),NO - Compilation error
24,1,,-11976,K(Dourado),C++11,guilherme_backtrack.cpp,judged,admin (1),NO - Time limit exceeded
25,1,,-11976,K(Dourado),C++11,lfdorelli_brute.cpp,judged,admin (1),NO - Time limit exceeded
26,1,,-11976,K(Dourado),C++11,paulo_brute.cpp,judged,admin (1),NO - Time limit exceeded
27,1,,-11976,K(Dourado),C++11,guilherme_backtrack2.cpp,judged,admin (1),NO - Wrong answer
28,1,,-11976,A(Branco polar),Java,A.java,judged,admin (1),YES
