#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin,Penalty
197701401,101,[UEA] Wesley e os Safadões,2,H,C++11,a.cpp,judged,teambrbr4 (101),YES,1,2
198273802,101,[UnB] Turkeys,3,H,C++11,H.cpp,judged,teambrbr42 (101),YES,1,3
198320203,101,[UFPB] fuze,3,H,C++11,H.cpp,judged,teambrbr14 (101),YES,1,3
198342704,101,[UNIOESTE-Cascavel] Ops! Solução Trivial,3,H,C++11,a.cpp,judged,teambrbr41 (101),YES,1,3
198447905,101,[UFPA] Cvaicomnois kazuya,4,H,C++11,H.cpp,judged,teambrbr51 (101),YES,1,4
198475606,101,[ITA] CalopsITA,4,H,C++11,H.cpp,judged,teambrbr56 (101),YES,1,4
198503107,101,[UFBA] Bira e seus craques,4,H,C++11,H.cpp,judged,teambrbr54 (101),YES,1,4
198728208,101,[UFU] Ahozinho com Feijão,4,H,C++11,H.cpp,judged,teambrbr64 (101),YES,1,4
198740009,101,[URI - Erechim] URI Luminatti,4,H,C++11,h.cpp,judged,teambrbr32 (101),YES,1,4
198956310,101,[UERJ] Algum Ritmo,4,H,C++11,h.cpp,judged,teambrbr26 (101),YES,1,4
199039711,101,[UECE] VDC,5,H,C++11,h.cpp,judged,teambrbr23 (101),YES,1,5
199083712,101,[UFCG] Se juntas causa imagina juntas,5,H,C++11,H.cpp,judged,teambrbr61 (101),YES,1,5
199088213,101,[UNIFEI-Itajubá] Nuclear Coders,5,H,C++11,h.cpp,judged,teambrbr72 (101),YES,1,5
199197314,101,[UDESC] Traveling Balloonsmen,5,H,C++11,a.cpp,judged,teambrbr67 (101),YES,1,5
199338115,101,[UFRJ] Esse é meu time,5,H,C++11,h.cpp,judged,teambrbr29 (101),YES,1,5
199377516,101,[UFU-Monte Carmelo] Bit Please,5,H,C++11,H.cpp,judged,teambrbr50 (101),YES,1,5
199689617,101,[UFAL] Gemidão da Maratona,6,H,C++11,h.cpp,judged,teambrbr68 (101),YES,1,6
199832418,101,[INATEL] stormtroop3rs [C],6,H,C++11,template.cpp,judged,teambrbr66 (101),YES,1,6
199844819,101,[USP] dog hits dog,6,H,C++11,H.cpp,judged,teambrbr69 (101),YES,1,6
199857520,101,[PUC-Rio] NP-Drada,6,H,C++11,h.cpp,judged,teambrbr59 (101),YES,1,6
200074621,101,[UFSCar-Sorocaba] C ilá,6,H,C++11,H.cpp,judged,teambrbr16 (101),YES,1,6
200082422,101,[UFG] Monkeys,6,H,C++11,H.cpp,judged,teambrbr53 (101),YES,1,6
200120123,101,[UnB-FGA] Teorema de Offson,6,H,C++11,H.cpp,judged,teambrbr34 (101),YES,1,6
200247424,101,[UFPE] Veteranos Bolados,7,H,C++11,H.cpp,judged,teambrbr37 (101),YES,1,7
200251525,101,[UFMG] Trupe da Biologia,7,H,C++11,h.cpp,judged,teambrbr18 (101),YES,1,7
200454126,101,[UFPR] YouShallNot.cpp,7,H,C++11,H.cpp,judged,teambrbr5 (101),YES,1,7
200471327,101,[UFCG] Choose difficulty: TITAN,7,H,C++11,H.cpp,judged,teambrbr3 (101),YES,1,7
200475028,101,[USP-São Carlos] Tô Nem Vendo,7,H,C++11,h.cpp,judged,teambrbr2 (101),YES,1,7
200501329,101,[UFSCar] vai_na.sort(),7,H,C++11,h.cpp,judged,teambrbr22 (101),YES,1,7
200585130,101,[PUCRS] NULL 1,7,H,Java,H.java,judged,teambrbr30 (101),YES,1,7
200740631,101,[CEFET-MG-Timóteo] CEFETIM,7,H,Java,H.java,judged,teambrbr57 (101),YES,1,7
200865532,101,"[USP] ¯\\_( ""/ )_/¯",8,H,C++11,H.cpp,judged,teambrbr44 (101),YES,1,8
200986333,101,[UFRR] Invictus,8,H,C++11,h.cpp,judged,teambrbr33 (101),YES,1,8
200999534,101,[UNIFESO] 100^o,8,H,C++11,h.cpp,judged,teambrbr40 (101),YES,1,8
201068035,101,[UFV-Rio Paranaiba] while(1),8,H,C++11,H.cpp,judged,teambrbr15 (101),YES,1,8
201439236,101,[UFPel] Time da Jaula,9,H,C++11,h.cpp,judged,teambrbr25 (101),YES,1,9
201629537,101,[IME] Lorem Ipsum,9,H,C++11,h.cpp,judged,teambrbr13 (101),YES,1,9
201675438,101,[UNOESTE] C-3PO,9,H,C++11,h.cpp,judged,teambrbr17 (101),YES,1,9
201734439,101,[UFRN] Ginga com Tapioca,9,H,C++11,H.cpp,judged,teambrbr48 (101),YES,1,9
201831040,101,[UFES] Over9k,9,H,C++11,H.cpp,judged,teambrbr49 (101),YES,1,9
201869241,101,[UFFS] aBNT Tigers,9,H,C++11,H.cpp,judged,teambrbr21 (101),YES,1,9
201941842,101,[UNITAU] O Legado de Maldito,9,H,C++11,h.cpp,judged,teambrbr39 (101),YES,1,9
